time,lat_5deg,lon_5deg,ph
1850-12-31,-80.0,-180.0,8.1815195
1850-12-31,-80.0,-175.0,8.178903
1850-12-31,-80.0,-170.0,8.175904
1850-12-31,-80.0,-165.0,8.201567
1850-12-31,-80.0,-160.0,8.222099
1850-12-31,-80.0,-50.0,8.171015
1850-12-31,-80.0,-45.0,8.177613
1850-12-31,-80.0,-40.0,8.176407
1850-12-31,-80.0,-35.0,8.1699705
1850-12-31,-80.0,165.0,8.111135
1850-12-31,-80.0,175.0,8.178762
1850-12-31,-80.0,180.0,8.183741
1850-12-31,-75.0,-180.0,8.089764
1850-12-31,-75.0,-175.0,8.097714
1850-12-31,-75.0,-170.0,8.105678
1850-12-31,-75.0,-165.0,8.116264
1850-12-31,-75.0,-160.0,8.140278
1850-12-31,-75.0,-155.0,8.148949
1850-12-31,-75.0,-150.0,8.156544
1850-12-31,-75.0,-145.0,8.156497
1850-12-31,-75.0,-140.0,8.160706
1850-12-31,-75.0,-135.0,8.157619
1850-12-31,-75.0,-130.0,8.146903
1850-12-31,-75.0,-125.0,8.126336
1850-12-31,-75.0,-120.0,8.106934
1850-12-31,-75.0,-115.0,8.11585
1850-12-31,-75.0,-110.0,8.1127405
1850-12-31,-75.0,-105.0,8.112488
1850-12-31,-75.0,-100.0,8.109733
1850-12-31,-75.0,-90.0,8.126481
1850-12-31,-75.0,-85.0,8.117097
1850-12-31,-75.0,-80.0,8.1448
1850-12-31,-75.0,-75.0,8.214795
1850-12-31,-75.0,-60.0,8.08515
1850-12-31,-75.0,-55.0,8.074465
1850-12-31,-75.0,-50.0,8.072018
1850-12-31,-75.0,-45.0,8.072742
1850-12-31,-75.0,-40.0,8.087046
1850-12-31,-75.0,-35.0,8.102717
1850-12-31,-75.0,-30.0,8.12882
1850-12-31,-75.0,-25.0,8.14492
1850-12-31,-75.0,-20.0,8.14186
1850-12-31,-75.0,165.0,8.100827
1850-12-31,-75.0,170.0,8.081406
1850-12-31,-75.0,175.0,8.079471
1850-12-31,-75.0,180.0,8.09142
1850-12-31,-70.0,-180.0,8.095559
1850-12-31,-70.0,-175.0,8.10024
1850-12-31,-70.0,-170.0,8.10416
1850-12-31,-70.0,-165.0,8.110537
1850-12-31,-70.0,-160.0,8.124582
1850-12-31,-70.0,-155.0,8.1442375
1850-12-31,-70.0,-150.0,8.158511
1850-12-31,-70.0,-145.0,8.166271
1850-12-31,-70.0,-140.0,8.173808
1850-12-31,-70.0,-135.0,8.177829
1850-12-31,-70.0,-130.0,8.178805
1850-12-31,-70.0,-125.0,8.161257
1850-12-31,-70.0,-120.0,8.135206
1850-12-31,-70.0,-115.0,8.120944
1850-12-31,-70.0,-110.0,8.111739
1850-12-31,-70.0,-105.0,8.110275
1850-12-31,-70.0,-100.0,8.125122
1850-12-31,-70.0,-95.0,8.130344
1850-12-31,-70.0,-90.0,8.12977
1850-12-31,-70.0,-85.0,8.11514
1850-12-31,-70.0,-80.0,8.114789
1850-12-31,-70.0,-75.0,8.149889
1850-12-31,-70.0,-70.0,8.1818
1850-12-31,-70.0,-60.0,8.027092
1850-12-31,-70.0,-55.0,8.017331
1850-12-31,-70.0,-50.0,8.028526
1850-12-31,-70.0,-45.0,8.030726
1850-12-31,-70.0,-40.0,8.032284
1850-12-31,-70.0,-35.0,8.053934
1850-12-31,-70.0,-30.0,8.092186
1850-12-31,-70.0,-25.0,8.104661
1850-12-31,-70.0,-20.0,8.098425
1850-12-31,-70.0,-15.0,8.089767
1850-12-31,-70.0,-10.0,8.080011
1850-12-31,-70.0,-5.0,8.076176
1850-12-31,-70.0,-0.0,8.074999
1850-12-31,-70.0,5.0,8.076047
1850-12-31,-70.0,10.0,8.087159
1850-12-31,-70.0,15.0,8.102055
1850-12-31,-70.0,20.0,8.113818
1850-12-31,-70.0,25.0,8.130023
1850-12-31,-70.0,30.0,8.143338
1850-12-31,-70.0,35.0,8.174257
1850-12-31,-70.0,40.0,8.175839
1850-12-31,-70.0,45.0,8.177868
1850-12-31,-70.0,65.0,8.140535
1850-12-31,-70.0,70.0,8.163945
1850-12-31,-70.0,75.0,8.162791
1850-12-31,-70.0,80.0,8.138188
1850-12-31,-70.0,145.0,8.101547
1850-12-31,-70.0,150.0,8.098439
1850-12-31,-70.0,155.0,8.085446
1850-12-31,-70.0,160.0,8.067949
1850-12-31,-70.0,165.0,8.062334
1850-12-31,-70.0,170.0,8.059709
1850-12-31,-70.0,175.0,8.076678
1850-12-31,-70.0,180.0,8.090236
1850-12-31,-65.0,-180.0,8.114889
1850-12-31,-65.0,-175.0,8.112374
1850-12-31,-65.0,-170.0,8.112856
1850-12-31,-65.0,-165.0,8.11288
1850-12-31,-65.0,-160.0,8.117268
1850-12-31,-65.0,-155.0,8.127436
1850-12-31,-65.0,-150.0,8.133492
1850-12-31,-65.0,-145.0,8.143798
1850-12-31,-65.0,-140.0,8.149944
1850-12-31,-65.0,-135.0,8.151263
1850-12-31,-65.0,-130.0,8.149301
1850-12-31,-65.0,-125.0,8.15039
1850-12-31,-65.0,-120.0,8.151363
1850-12-31,-65.0,-115.0,8.150389
1850-12-31,-65.0,-110.0,8.150058
1850-12-31,-65.0,-105.0,8.150953
1850-12-31,-65.0,-100.0,8.151771
1850-12-31,-65.0,-95.0,8.152259
1850-12-31,-65.0,-90.0,8.1518135
1850-12-31,-65.0,-85.0,8.150508
1850-12-31,-65.0,-80.0,8.150144
1850-12-31,-65.0,-75.0,8.145949
1850-12-31,-65.0,-70.0,8.146197
1850-12-31,-65.0,-65.0,8.15888
1850-12-31,-65.0,-60.0,8.137432
1850-12-31,-65.0,-55.0,8.109263
1850-12-31,-65.0,-50.0,8.116663
1850-12-31,-65.0,-45.0,8.129145
1850-12-31,-65.0,-40.0,8.114406
1850-12-31,-65.0,-35.0,8.0989065
1850-12-31,-65.0,-30.0,8.114095
1850-12-31,-65.0,-25.0,8.1151905
1850-12-31,-65.0,-20.0,8.089343
1850-12-31,-65.0,-15.0,8.080472
1850-12-31,-65.0,-10.0,8.091487
1850-12-31,-65.0,-5.0,8.094756
1850-12-31,-65.0,-0.0,8.093196
1850-12-31,-65.0,5.0,8.0949135
1850-12-31,-65.0,10.0,8.100219
1850-12-31,-65.0,15.0,8.093998
1850-12-31,-65.0,20.0,8.09249
1850-12-31,-65.0,25.0,8.098181
1850-12-31,-65.0,30.0,8.099635
1850-12-31,-65.0,35.0,8.105781
1850-12-31,-65.0,40.0,8.120866
1850-12-31,-65.0,45.0,8.132951
1850-12-31,-65.0,50.0,8.12402
1850-12-31,-65.0,55.0,8.108616
1850-12-31,-65.0,60.0,8.109648
1850-12-31,-65.0,65.0,8.109481
1850-12-31,-65.0,70.0,8.109798
1850-12-31,-65.0,75.0,8.117028
1850-12-31,-65.0,80.0,8.106523
1850-12-31,-65.0,85.0,8.092198
1850-12-31,-65.0,90.0,8.091391
1850-12-31,-65.0,95.0,8.103599
1850-12-31,-65.0,100.0,8.102567
1850-12-31,-65.0,105.0,8.1037035
1850-12-31,-65.0,110.0,8.105546
1850-12-31,-65.0,115.0,8.098729
1850-12-31,-65.0,120.0,8.095843
1850-12-31,-65.0,125.0,8.099291
1850-12-31,-65.0,130.0,8.097758
1850-12-31,-65.0,135.0,8.087129
1850-12-31,-65.0,140.0,8.080237
1850-12-31,-65.0,145.0,8.075286
1850-12-31,-65.0,150.0,8.072716
1850-12-31,-65.0,155.0,8.071042
1850-12-31,-65.0,160.0,8.079625
1850-12-31,-65.0,165.0,8.094511
1850-12-31,-65.0,170.0,8.096293
1850-12-31,-65.0,175.0,8.1024065
1850-12-31,-65.0,180.0,8.113489
1850-12-31,-60.0,-180.0,8.1367445
1850-12-31,-60.0,-175.0,8.137593
1850-12-31,-60.0,-170.0,8.139191
1850-12-31,-60.0,-165.0,8.140762
1850-12-31,-60.0,-160.0,8.140812
1850-12-31,-60.0,-155.0,8.137206
1850-12-31,-60.0,-150.0,8.131776
1850-12-31,-60.0,-145.0,8.138882
1850-12-31,-60.0,-140.0,8.142476
1850-12-31,-60.0,-135.0,8.14354
1850-12-31,-60.0,-130.0,8.141594
1850-12-31,-60.0,-125.0,8.13899
1850-12-31,-60.0,-120.0,8.136761
1850-12-31,-60.0,-115.0,8.135576
1850-12-31,-60.0,-110.0,8.136108
1850-12-31,-60.0,-105.0,8.13598
1850-12-31,-60.0,-100.0,8.13687
1850-12-31,-60.0,-95.0,8.137766
1850-12-31,-60.0,-90.0,8.138356
1850-12-31,-60.0,-85.0,8.138232
1850-12-31,-60.0,-80.0,8.137419
1850-12-31,-60.0,-75.0,8.136542
1850-12-31,-60.0,-70.0,8.137529
1850-12-31,-60.0,-65.0,8.142499
1850-12-31,-60.0,-60.0,8.137565
1850-12-31,-60.0,-55.0,8.140779
1850-12-31,-60.0,-50.0,8.136538
1850-12-31,-60.0,-45.0,8.157966
1850-12-31,-60.0,-40.0,8.202885
1850-12-31,-60.0,-35.0,8.218467
1850-12-31,-60.0,-30.0,8.193923
1850-12-31,-60.0,-25.0,8.126519
1850-12-31,-60.0,-20.0,8.111667
1850-12-31,-60.0,-15.0,8.100557
1850-12-31,-60.0,-10.0,8.106474
1850-12-31,-60.0,-5.0,8.117903
1850-12-31,-60.0,-0.0,8.117129
1850-12-31,-60.0,5.0,8.111676
1850-12-31,-60.0,10.0,8.108777
1850-12-31,-60.0,15.0,8.114978
1850-12-31,-60.0,20.0,8.119977
1850-12-31,-60.0,25.0,8.12419
1850-12-31,-60.0,30.0,8.129638
1850-12-31,-60.0,35.0,8.134002
1850-12-31,-60.0,40.0,8.137855
1850-12-31,-60.0,45.0,8.141184
1850-12-31,-60.0,50.0,8.143328
1850-12-31,-60.0,55.0,8.145393
1850-12-31,-60.0,60.0,8.148667
1850-12-31,-60.0,65.0,8.152214
1850-12-31,-60.0,70.0,8.144674
1850-12-31,-60.0,75.0,8.107549
1850-12-31,-60.0,80.0,8.092836
1850-12-31,-60.0,85.0,8.080528
1850-12-31,-60.0,90.0,8.086912
1850-12-31,-60.0,95.0,8.0959
1850-12-31,-60.0,100.0,8.101987
1850-12-31,-60.0,105.0,8.105783
1850-12-31,-60.0,110.0,8.112399
1850-12-31,-60.0,115.0,8.118987
1850-12-31,-60.0,120.0,8.122225
1850-12-31,-60.0,125.0,8.124636
1850-12-31,-60.0,130.0,8.125707
1850-12-31,-60.0,135.0,8.123995
1850-12-31,-60.0,140.0,8.120013
1850-12-31,-60.0,145.0,8.114023
1850-12-31,-60.0,150.0,8.1053295
1850-12-31,-60.0,155.0,8.100416
1850-12-31,-60.0,160.0,8.1125965
1850-12-31,-60.0,165.0,8.127865
1850-12-31,-60.0,170.0,8.132828
1850-12-31,-60.0,175.0,8.134943
1850-12-31,-60.0,180.0,8.135894
1850-12-31,-55.0,-180.0,8.142041
1850-12-31,-55.0,-175.0,8.143212
1850-12-31,-55.0,-170.0,8.1464
1850-12-31,-55.0,-165.0,8.151415
1850-12-31,-55.0,-160.0,8.153545
1850-12-31,-55.0,-155.0,8.150345
1850-12-31,-55.0,-150.0,8.146948
1850-12-31,-55.0,-145.0,8.147012
1850-12-31,-55.0,-140.0,8.148162
1850-12-31,-55.0,-135.0,8.148441
1850-12-31,-55.0,-130.0,8.148495
1850-12-31,-55.0,-125.0,8.145987
1850-12-31,-55.0,-120.0,8.14309
1850-12-31,-55.0,-115.0,8.144757
1850-12-31,-55.0,-110.0,8.146399
1850-12-31,-55.0,-105.0,8.146175
1850-12-31,-55.0,-100.0,8.145934
1850-12-31,-55.0,-95.0,8.144884
1850-12-31,-55.0,-90.0,8.143535
1850-12-31,-55.0,-85.0,8.142617
1850-12-31,-55.0,-80.0,8.141892
1850-12-31,-55.0,-75.0,8.14864
1850-12-31,-55.0,-70.0,8.162839
1850-12-31,-55.0,-65.0,8.149066
1850-12-31,-55.0,-60.0,8.141018
1850-12-31,-55.0,-55.0,8.133822
1850-12-31,-55.0,-50.0,8.1339
1850-12-31,-55.0,-45.0,8.138863
1850-12-31,-55.0,-40.0,8.152741
1850-12-31,-55.0,-35.0,8.1651745
1850-12-31,-55.0,-30.0,8.195775
1850-12-31,-55.0,-25.0,8.192316
1850-12-31,-55.0,-20.0,8.186916
1850-12-31,-55.0,-15.0,8.183625
1850-12-31,-55.0,-10.0,8.173392
1850-12-31,-55.0,-5.0,8.146271
1850-12-31,-55.0,-0.0,8.131386
1850-12-31,-55.0,5.0,8.123432
1850-12-31,-55.0,10.0,8.114241
1850-12-31,-55.0,15.0,8.123654
1850-12-31,-55.0,20.0,8.132381
1850-12-31,-55.0,25.0,8.13372
1850-12-31,-55.0,30.0,8.137149
1850-12-31,-55.0,35.0,8.13813
1850-12-31,-55.0,40.0,8.135395
1850-12-31,-55.0,45.0,8.132471
1850-12-31,-55.0,50.0,8.133394
1850-12-31,-55.0,55.0,8.138501
1850-12-31,-55.0,60.0,8.144922
1850-12-31,-55.0,65.0,8.149301
1850-12-31,-55.0,70.0,8.149839
1850-12-31,-55.0,75.0,8.140255
1850-12-31,-55.0,80.0,8.105839
1850-12-31,-55.0,85.0,8.096318
