year,y,x,nav_lat,nav_lon,ph
1980,0,0,-57.695797,-147.5,8.07261
1980,0,1,-57.695797,-146.5,8.073251
1980,0,2,-57.695797,-145.5,8.075509
1980,0,3,-57.695797,-144.5,8.077803
1980,0,4,-57.695797,-143.5,8.081162
1980,0,5,-57.695797,-142.5,8.0840845
1980,0,6,-57.695797,-141.5,8.085851
1980,0,7,-57.695797,-140.5,8.087553
1980,0,8,-57.695797,-139.5,8.088654
1980,0,9,-57.695797,-138.5,8.089284
1980,0,10,-57.695797,-137.5,8.089492
1980,0,11,-57.695797,-136.5,8.089559
1980,0,12,-57.695797,-135.5,8.089297
1980,0,13,-57.695797,-134.5,8.089186
1980,0,14,-57.695797,-133.5,8.089196
1980,0,15,-57.695797,-132.5,8.0891285
1980,0,16,-57.695797,-131.5,8.088898
1980,0,17,-57.695797,-130.5,8.088878
1980,0,18,-57.695797,-129.5,8.08884
1980,0,19,-57.695797,-128.5,8.088787
1980,1,0,-57.15743,-147.5,8.074809
1980,1,1,-57.15743,-146.5,8.075551
1980,1,2,-57.15743,-145.5,8.077472
1980,1,3,-57.15743,-144.5,8.079842
1980,1,4,-57.15743,-143.5,8.083111
1980,1,5,-57.15743,-142.5,8.08583
1980,1,6,-57.15743,-141.5,8.087377
1980,1,7,-57.15743,-140.5,8.088872
1980,1,8,-57.15743,-139.5,8.0898075
1980,1,9,-57.15743,-138.5,8.090127
1980,1,10,-57.15743,-137.5,8.090248
1980,1,11,-57.15743,-136.5,8.0903425
1980,1,12,-57.15743,-135.5,8.090127
1980,1,13,-57.15743,-134.5,8.090078
1980,1,14,-57.15743,-133.5,8.090185
1980,1,15,-57.15743,-132.5,8.090121
1980,1,16,-57.15743,-131.5,8.089977
1980,1,17,-57.15743,-130.5,8.090027
1980,1,18,-57.15743,-129.5,8.089965
1980,1,19,-57.15743,-128.5,8.089875
1980,2,0,-56.61111,-147.5,8.078594
1980,2,1,-56.61111,-146.5,8.079265
1980,2,2,-56.61111,-145.5,8.081
1980,2,3,-56.61111,-144.5,8.083096
1980,2,4,-56.61111,-143.5,8.085899
1980,2,5,-56.61111,-142.5,8.088119
1980,2,6,-56.61111,-141.5,8.089345
1980,2,7,-56.61111,-140.5,8.090452
1980,2,8,-56.61111,-139.5,8.091054
1980,2,9,-56.61111,-138.5,8.091212
1980,2,10,-56.61111,-137.5,8.091209
1980,2,11,-56.61111,-136.5,8.09131
1980,2,12,-56.61111,-135.5,8.091121
1980,2,13,-56.61111,-134.5,8.091031
1980,2,14,-56.61111,-133.5,8.091026
1980,2,15,-56.61111,-132.5,8.091012
1980,2,16,-56.61111,-131.5,8.090843
1980,2,17,-56.61111,-130.5,8.090895
1980,2,18,-56.61111,-129.5,8.090806
1980,2,19,-56.61111,-128.5,8.090687
1980,3,0,-56.05677,-147.5,8.083804
1980,3,1,-56.05677,-146.5,8.084284
1980,3,2,-56.05677,-145.5,8.085667
1980,3,3,-56.05677,-144.5,8.087069
1980,3,4,-56.05677,-143.5,8.089002
1980,3,5,-56.05677,-142.5,8.090396
1980,3,6,-56.05677,-141.5,8.091204
1980,3,7,-56.05677,-140.5,8.091869
1980,3,8,-56.05677,-139.5,8.092145
1980,3,9,-56.05677,-138.5,8.092221
1980,3,10,-56.05677,-137.5,8.092133
1980,3,11,-56.05677,-136.5,8.092103
1980,3,12,-56.05677,-135.5,8.092021
1980,3,13,-56.05677,-134.5,8.091907
1980,3,14,-56.05677,-133.5,8.091823
1980,3,15,-56.05677,-132.5,8.0918455
1980,3,16,-56.05677,-131.5,8.091763
1980,3,17,-56.05677,-130.5,8.091767
1980,3,18,-56.05677,-129.5,8.09165
1980,3,19,-56.05677,-128.5,8.091445
1980,4,0,-55.494347,-147.5,8.087836
1980,4,1,-55.494347,-146.5,8.087981
1980,4,2,-55.494347,-145.5,8.089122
1980,4,3,-55.494347,-144.5,8.089915
1980,4,4,-55.494347,-143.5,8.091231
1980,4,5,-55.494347,-142.5,8.092191
1980,4,6,-55.494347,-141.5,8.092843
1980,4,7,-55.494347,-140.5,8.093022
1980,4,8,-55.494347,-139.5,8.093213
1980,4,9,-55.494347,-138.5,8.093167
1980,4,10,-55.494347,-137.5,8.09299
1980,4,11,-55.494347,-136.5,8.092921
1980,4,12,-55.494347,-135.5,8.0928545
1980,4,13,-55.494347,-134.5,8.0926485
1980,4,14,-55.494347,-133.5,8.092608
1980,4,15,-55.494347,-132.5,8.09261
1980,4,16,-55.494347,-131.5,8.092517
1980,4,17,-55.494347,-130.5,8.092535
1980,4,18,-55.494347,-129.5,8.0923815
1980,4,19,-55.494347,-128.5,8.092055
1980,5,0,-54.923775,-147.5,8.091679
1980,5,1,-54.923775,-146.5,8.091825
1980,5,2,-54.923775,-145.5,8.092724
1980,5,3,-54.923775,-144.5,8.093238
1980,5,4,-54.923775,-143.5,8.094067
1980,5,5,-54.923775,-142.5,8.094497
1980,5,6,-54.923775,-141.5,8.095059
1980,5,7,-54.923775,-140.5,8.094716
1980,5,8,-54.923775,-139.5,8.09464
1980,5,9,-54.923775,-138.5,8.094274
1980,5,10,-54.923775,-137.5,8.09402
1980,5,11,-54.923775,-136.5,8.093829
1980,5,12,-54.923775,-135.5,8.093791
1980,5,13,-54.923775,-134.5,8.093479
1980,5,14,-54.923775,-133.5,8.093543
1980,5,15,-54.923775,-132.5,8.093577
1980,5,16,-54.923775,-131.5,8.093503
1980,5,17,-54.923775,-130.5,8.093382
1980,5,18,-54.923775,-129.5,8.093183
1980,5,19,-54.923775,-128.5,8.092636
1980,6,0,-54.344994,-147.5,8.093829
1980,6,1,-54.344994,-146.5,8.094026
1980,6,2,-54.344994,-145.5,8.094775
1980,6,3,-54.344994,-144.5,8.094989
1980,6,4,-54.344994,-143.5,8.09554
1980,6,5,-54.344994,-142.5,8.095875
1980,6,6,-54.344994,-141.5,8.096131
1980,6,7,-54.344994,-140.5,8.09588
1980,6,8,-54.344994,-139.5,8.095789
1980,6,9,-54.344994,-138.5,8.095417
1980,6,10,-54.344994,-137.5,8.095049
1980,6,11,-54.344994,-136.5,8.094832
1980,6,12,-54.344994,-135.5,8.094645
1980,6,13,-54.344994,-134.5,8.094373
1980,6,14,-54.344994,-133.5,8.094444
1980,6,15,-54.344994,-132.5,8.094434
1980,6,16,-54.344994,-131.5,8.094298
1980,6,17,-54.344994,-130.5,8.094087
1980,6,18,-54.344994,-129.5,8.093841
1980,6,19,-54.344994,-128.5,8.093368
1980,7,0,-53.75795,-147.5,8.096097
1980,7,1,-53.75795,-146.5,8.096359
1980,7,2,-53.75795,-145.5,8.0969095
1980,7,3,-53.75795,-144.5,8.097018
1980,7,4,-53.75795,-143.5,8.097351
1980,7,5,-53.75795,-142.5,8.097567
1980,7,6,-53.75795,-141.5,8.097607
1980,7,7,-53.75795,-140.5,8.097164
1980,7,8,-53.75795,-139.5,8.096953
1980,7,9,-53.75795,-138.5,8.096588
1980,7,10,-53.75795,-137.5,8.0961485
1980,7,11,-53.75795,-136.5,8.09583
1980,7,12,-53.75795,-135.5,8.095433
1980,7,13,-53.75795,-134.5,8.095297
1980,7,14,-53.75795,-133.5,8.095129
1980,7,15,-53.75795,-132.5,8.094897
1980,7,16,-53.75795,-131.5,8.094647
1980,7,17,-53.75795,-130.5,8.09434
1980,7,18,-53.75795,-129.5,8.094182
1980,7,19,-53.75795,-128.5,8.09372
1980,8,0,-53.162582,-147.5,8.097931
1980,8,1,-53.162582,-146.5,8.098079
1980,8,2,-53.162582,-145.5,8.098531
1980,8,3,-53.162582,-144.5,8.098566
1980,8,4,-53.162582,-143.5,8.098758
1980,8,5,-53.162582,-142.5,8.098859
1980,8,6,-53.162582,-141.5,8.098792
1980,8,7,-53.162582,-140.5,8.098319
1980,8,8,-53.162582,-139.5,8.09797
1980,8,9,-53.162582,-138.5,8.097569
1980,8,10,-53.162582,-137.5,8.097056
1980,8,11,-53.162582,-136.5,8.096608
1980,8,12,-53.162582,-135.5,8.096125
1980,8,13,-53.162582,-134.5,8.095824
1980,8,14,-53.162582,-133.5,8.095593
1980,8,15,-53.162582,-132.5,8.095283
1980,8,16,-53.162582,-131.5,8.0949745
1980,8,17,-53.162582,-130.5,8.09463
1980,8,18,-53.162582,-129.5,8.094571
1980,8,19,-53.162582,-128.5,8.094076
1980,9,0,-52.558838,-147.5,8.09958
1980,9,1,-52.558838,-146.5,8.099703
1980,9,2,-52.558838,-145.5,8.099868
1980,9,3,-52.558838,-144.5,8.099878
1980,9,4,-52.558838,-143.5,8.099946
1980,9,5,-52.558838,-142.5,8.09987
1980,9,6,-52.558838,-141.5,8.099704
1980,9,7,-52.558838,-140.5,8.09928
1980,9,8,-52.558838,-139.5,8.09885
1980,9,9,-52.558838,-138.5,8.098235
1980,9,10,-52.558838,-137.5,8.097657
1980,9,11,-52.558838,-136.5,8.097192
1980,9,12,-52.558838,-135.5,8.096737
1980,9,13,-52.558838,-134.5,8.096302
1980,9,14,-52.558838,-133.5,8.095944
1980,9,15,-52.558838,-132.5,8.095583
1980,9,16,-52.558838,-131.5,8.095271
1980,9,17,-52.558838,-130.5,8.09493
1980,9,18,-52.558838,-129.5,8.094865
1980,9,19,-52.558838,-128.5,8.094341
1980,10,0,-51.946674,-147.5,8.100789
1980,10,1,-51.946674,-146.5,8.100907
1980,10,2,-51.946674,-145.5,8.100897
1980,10,3,-51.946674,-144.5,8.10089
1980,10,4,-51.946674,-143.5,8.10085
1980,10,5,-51.946674,-142.5,8.100737
1980,10,6,-51.946674,-141.5,8.100556
1980,10,7,-51.946674,-140.5,8.099971
1980,10,8,-51.946674,-139.5,8.099466
1980,10,9,-51.946674,-138.5,8.0987425
1980,10,10,-51.946674,-137.5,8.098071
1980,10,11,-51.946674,-136.5,8.0976305
1980,10,12,-51.946674,-135.5,8.097177
1980,10,13,-51.946674,-134.5,8.096659
1980,10,14,-51.946674,-133.5,8.096305
1980,10,15,-51.946674,-132.5,8.095874
1980,10,16,-51.946674,-131.5,8.095584
1980,10,17,-51.946674,-130.5,8.095118
1980,10,18,-51.946674,-129.5,8.094985
1980,10,19,-51.946674,-128.5,8.094432
1980,11,0,-51.326035,-147.5,8.102078
1980,11,1,-51.326035,-146.5,8.102191
1980,11,2,-51.326035,-145.5,8.102091
1980,11,3,-51.326035,-144.5,8.102025
1980,11,4,-51.326035,-143.5,8.101882
1980,11,5,-51.326035,-142.5,8.101594
1980,11,6,-51.326035,-141.5,8.101349
1980,11,7,-51.326035,-140.5,8.100794
1980,11,8,-51.326035,-139.5,8.100255
1980,11,9,-51.326035,-138.5,8.099443
1980,11,10,-51.326035,-137.5,8.098636
1980,11,11,-51.326035,-136.5,8.098079
1980,11,12,-51.326035,-135.5,8.097634
1980,11,13,-51.326035,-134.5,8.097151
1980,11,14,-51.326035,-133.5,8.0967
1980,11,15,-51.326035,-132.5,8.096312
1980,11,16,-51.326035,-131.5,8.096022
1980,11,17,-51.326035,-130.5,8.095501
1980,11,18,-51.326035,-129.5,8.095201
1980,11,19,-51.326035,-128.5,8.094593
1980,12,0,-50.696884,-147.5,8.103616
1980,12,1,-50.696884,-146.5,8.103715
1980,12,2,-50.696884,-145.5,8.103412
1980,12,3,-50.696884,-144.5,8.103192
1980,12,4,-50.696884,-143.5,8.102857
1980,12,5,-50.696884,-142.5,8.102487
1980,12,6,-50.696884,-141.5,8.102135
1980,12,7,-50.696884,-140.5,8.101485
1980,12,8,-50.696884,-139.5,8.100892
1980,12,9,-50.696884,-138.5,8.100135
1980,12,10,-50.696884,-137.5,8.099293
1980,12,11,-50.696884,-136.5,8.098673
1980,12,12,-50.696884,-135.5,8.098184
1980,12,13,-50.696884,-134.5,8.097696
1980,12,14,-50.696884,-133.5,8.097145
1980,12,15,-50.696884,-132.5,8.096765
1980,12,16,-50.696884,-131.5,8.096423
1980,12,17,-50.696884,-130.5,8.095866
1980,12,18,-50.696884,-129.5,8.095486
1980,12,19,-50.696884,-128.5,8.094802
1980,13,0,-50.059177,-147.5,8.105264
1980,13,1,-50.059177,-146.5,8.105189
1980,13,2,-50.059177,-145.5,8.10464
1980,13,3,-50.059177,-144.5,8.104299
1980,13,4,-50.059177,-143.5,8.103751
1980,13,5,-50.059177,-142.5,8.1032095
1980,13,6,-50.059177,-141.5,8.102752
1980,13,7,-50.059177,-140.5,8.101976
1980,13,8,-50.059177,-139.5,8.101304
1980,13,9,-50.059177,-138.5,8.10053
1980,13,10,-50.059177,-137.5,8.099711
1980,13,11,-50.059177,-136.5,8.099128
1980,13,12,-50.059177,-135.5,8.098812
1980,13,13,-50.059177,-134.5,8.098423
1980,13,14,-50.059177,-133.5,8.09787
1980,13,15,-50.059177,-132.5,8.0974245
1980,13,16,-50.059177,-131.5,8.097057
1980,13,17,-50.059177,-130.5,8.096504
1980,13,18,-50.059177,-129.5,8.096162
1980,13,19,-50.059177,-128.5,8.095395
1980,14,0,-49.41288,-147.5,8.106863
1980,14,1,-49.41288,-146.5,8.106475
1980,14,2,-49.41288,-145.5,8.105668
1980,14,3,-49.41288,-144.5,8.105106
1980,14,4,-49.41288,-143.5,8.10435
1980,14,5,-49.41288,-142.5,8.103681
1980,14,6,-49.41288,-141.5,8.103095
1980,14,7,-49.41288,-140.5,8.102036
1980,14,8,-49.41288,-139.5,8.101199
1980,14,9,-49.41288,-138.5,8.100547
1980,14,10,-49.41288,-137.5,8.099808
1980,14,11,-49.41288,-136.5,8.099217
1980,14,12,-49.41288,-135.5,8.09905
1980,14,13,-49.41288,-134.5,8.098821
1980,14,14,-49.41288,-133.5,8.098303
1980,14,15,-49.41288,-132.5,8.09792
1980,14,16,-49.41288,-131.5,8.097605
1980,14,17,-49.41288,-130.5,8.097056
1980,14,18,-49.41288,-129.5,8.096786
1980,14,19,-49.41288,-128.5,8.096004
1980,15,0,-48.757957,-147.5,8.107633
1980,15,1,-48.757957,-146.5,8.10714
1980,15,2,-48.757957,-145.5,8.106421
1980,15,3,-48.757957,-144.5,8.105838
1980,15,4,-48.757957,-143.5,8.104958
1980,15,5,-48.757957,-142.5,8.104122
1980,15,6,-48.757957,-141.5,8.103478
1980,15,7,-48.757957,-140.5,8.102374
1980,15,8,-48.757957,-139.5,8.101499
1980,15,9,-48.757957,-138.5,8.100905
1980,15,10,-48.757957,-137.5,8.100103
1980,15,11,-48.757957,-136.5,8.099486
1980,15,12,-48.757957,-135.5,8.099474
1980,15,13,-48.757957,-134.5,8.099324
1980,15,14,-48.757957,-133.5,8.09893
1980,15,15,-48.757957,-132.5,8.098653
1980,15,16,-48.757957,-131.5,8.098412
1980,15,17,-48.757957,-130.5,8.097806
1980,15,18,-48.757957,-129.5,8.097501
1980,15,19,-48.757957,-128.5,8.0969515
1980,16,0,-48.094387,-147.5,8.108076
1980,16,1,-48.094387,-146.5,8.107419
1980,16,2,-48.094387,-145.5,8.106843
1980,16,3,-48.094387,-144.5,8.106359
1980,16,4,-48.094387,-143.5,8.105456
1980,16,5,-48.094387,-142.5,8.104671
1980,16,6,-48.094387,-141.5,8.103997
1980,16,7,-48.094387,-140.5,8.102818
1980,16,8,-48.094387,-139.5,8.101854
1980,16,9,-48.094387,-138.5,8.101338
1980,16,10,-48.094387,-137.5,8.100564
1980,16,11,-48.094387,-136.5,8.099934
1980,16,12,-48.094387,-135.5,8.099956
1980,16,13,-48.094387,-134.5,8.099875
1980,16,14,-48.094387,-133.5,8.099547
1980,16,15,-48.094387,-132.5,8.099236
1980,16,16,-48.094387,-131.5,8.098964
1980,16,17,-48.094387,-130.5,8.098328
1980,16,18,-48.094387,-129.5,8.097924
1980,16,19,-48.094387,-128.5,8.097569
1980,17,0,-47.422142,-147.5,8.108211
1980,17,1,-47.422142,-146.5,8.107658
1980,17,2,-47.422142,-145.5,8.107045
1980,17,3,-47.422142,-144.5,8.106666
1980,17,4,-47.422142,-143.5,8.105813
1980,17,5,-47.422142,-142.5,8.105142
1980,17,6,-47.422142,-141.5,8.104548
1980,17,7,-47.422142,-140.5,8.10334
1980,17,8,-47.422142,-139.5,8.102361
1980,17,9,-47.422142,-138.5,8.101796
1980,17,10,-47.422142,-137.5,8.101106
1980,17,11,-47.422142,-136.5,8.100533
1980,17,12,-47.422142,-135.5,8.100364
1980,17,13,-47.422142,-134.5,8.100297
1980,17,14,-47.422142,-133.5,8.100183
1980,17,15,-47.422142,-132.5,8.099931
1980,17,16,-47.422142,-131.5,8.099717
1980,17,17,-47.422142,-130.5,8.099278
1980,17,18,-47.422142,-129.5,8.098826
1980,17,19,-47.422142,-128.5,8.098522
1980,18,0,-46.7412,-147.5,8.107961
1980,18,1,-46.7412,-146.5,8.1074
1980,18,2,-46.7412,-145.5,8.106898
1980,18,3,-46.7412,-144.5,8.106682
1980,18,4,-46.7412,-143.5,8.105886
1980,18,5,-46.7412,-142.5,8.105323
1980,18,6,-46.7412,-141.5,8.104816
1980,18,7,-46.7412,-140.5,8.103633
1980,18,8,-46.7412,-139.5,8.102773
1980,18,9,-46.7412,-138.5,8.102341
1980,18,10,-46.7412,-137.5,8.101819
1980,18,11,-46.7412,-136.5,8.101405
1980,18,12,-46.7412,-135.5,8.10117
1980,18,13,-46.7412,-134.5,8.100971
1980,18,14,-46.7412,-133.5,8.10091
1980,18,15,-46.7412,-132.5,8.100732
1980,18,16,-46.7412,-131.5,8.100543
1980,18,17,-46.7412,-130.5,8.1001425
1980,18,18,-46.7412,-129.5,8.099769
1980,18,19,-46.7412,-128.5,8.099542
1980,19,0,-46.051548,-147.5,8.107556
1980,19,1,-46.051548,-146.5,8.107121
1980,19,2,-46.051548,-145.5,8.106522
1980,19,3,-46.051548,-144.5,8.106353
1980,19,4,-46.051548,-143.5,8.105381
1980,19,5,-46.051548,-142.5,8.104868
1980,19,6,-46.051548,-141.5,8.104586
1980,19,7,-46.051548,-140.5,8.103755
1980,19,8,-46.051548,-139.5,8.103122
1980,19,9,-46.051548,-138.5,8.102938
1980,19,10,-46.051548,-137.5,8.102554
1980,19,11,-46.051548,-136.5,8.102172
1980,19,12,-46.051548,-135.5,8.101981
1980,19,13,-46.051548,-134.5,8.101676
1980,19,14,-46.051548,-133.5,8.1017275
1980,19,15,-46.051548,-132.5,8.101686
1980,19,16,-46.051548,-131.5,8.101547
1980,19,17,-46.051548,-130.5,8.101435
1980,19,18,-46.051548,-129.5,8.101193
1980,19,19,-46.051548,-128.5,8.101039
1981,0,0,-57.695797,-147.5,8.075059
1981,0,1,-57.695797,-146.5,8.075414
1981,0,2,-57.695797,-145.5,8.076349
1981,0,3,-57.695797,-144.5,8.076049
1981,0,4,-57.695797,-143.5,8.077037
1981,0,5,-57.695797,-142.5,8.078441
1981,0,6,-57.695797,-141.5,8.079746
1981,0,7,-57.695797,-140.5,8.081295
1981,0,8,-57.695797,-139.5,8.082503
1981,0,9,-57.695797,-138.5,8.083229
1981,0,10,-57.695797,-137.5,8.083873
1981,0,11,-57.695797,-136.5,8.084794
1981,0,12,-57.695797,-135.5,8.0855665
1981,0,13,-57.695797,-134.5,8.086477
1981,0,14,-57.695797,-133.5,8.087285
1981,0,15,-57.695797,-132.5,8.087966
1981,0,16,-57.695797,-131.5,8.088473
1981,0,17,-57.695797,-130.5,8.089109
1981,0,18,-57.695797,-129.5,8.089601
1981,0,19,-57.695797,-128.5,8.090039
1981,1,0,-57.15743,-147.5,8.074738
1981,1,1,-57.15743,-146.5,8.075645
1981,1,2,-57.15743,-145.5,8.076301
1981,1,3,-57.15743,-144.5,8.076384
1981,1,4,-57.15743,-143.5,8.077717
1981,1,5,-57.15743,-142.5,8.079238
1981,1,6,-57.15743,-141.5,8.080678
1981,1,7,-57.15743,-140.5,8.082225
1981,1,8,-57.15743,-139.5,8.083208
1981,1,9,-57.15743,-138.5,8.0838785
1981,1,10,-57.15743,-137.5,8.084443
1981,1,11,-57.15743,-136.5,8.085352
1981,1,12,-57.15743,-135.5,8.086289
1981,1,13,-57.15743,-134.5,8.087248
1981,1,14,-57.15743,-133.5,8.088162
1981,1,15,-57.15743,-132.5,8.088908
1981,1,16,-57.15743,-131.5,8.089498
1981,1,17,-57.15743,-130.5,8.0903
1981,1,18,-57.15743,-129.5,8.090887
1981,1,19,-57.15743,-128.5,8.091315
1981,2,0,-56.61111,-147.5,8.074769
1981,2,1,-56.61111,-146.5,8.075802
1981,2,2,-56.61111,-145.5,8.076722
1981,2,3,-56.61111,-144.5,8.077466
1981,2,4,-56.61111,-143.5,8.079216
1981,2,5,-56.61111,-142.5,8.080893
1981,2,6,-56.61111,-141.5,8.08235
1981,2,7,-56.61111,-140.5,8.083812
1981,2,8,-56.61111,-139.5,8.084453
1981,2,9,-56.61111,-138.5,8.084929
1981,2,10,-56.61111,-137.5,8.085423
1981,2,11,-56.61111,-136.5,8.0862665
1981,2,12,-56.61111,-135.5,8.087199
1981,2,13,-56.61111,-134.5,8.088133
1981,2,14,-56.61111,-133.5,8.089055
1981,2,15,-56.61111,-132.5,8.089924
1981,2,16,-56.61111,-131.5,8.090671
1981,2,17,-56.61111,-130.5,8.091602
1981,2,18,-56.61111,-129.5,8.092292
1981,2,19,-56.61111,-128.5,8.092755
1981,3,0,-56.05677,-147.5,8.077096
1981,3,1,-56.05677,-146.5,8.07792
1981,3,2,-56.05677,-145.5,8.078923
1981,3,3,-56.05677,-144.5,8.079935
1981,3,4,-56.05677,-143.5,8.081601
1981,3,5,-56.05677,-142.5,8.083163
1981,3,6,-56.05677,-141.5,8.084596
1981,3,7,-56.05677,-140.5,8.085506
1981,3,8,-56.05677,-139.5,8.085986
1981,3,9,-56.05677,-138.5,8.086206
1981,3,10,-56.05677,-137.5,8.086456
1981,3,11,-56.05677,-136.5,8.087204
1981,3,12,-56.05677,-135.5,8.088062
1981,3,13,-56.05677,-134.5,8.088883
1981,3,14,-56.05677,-133.5,8.089969
1981,3,15,-56.05677,-132.5,8.09105
1981,3,16,-56.05677,-131.5,8.0920105
1981,3,17,-56.05677,-130.5,8.092967
1981,3,18,-56.05677,-129.5,8.093731
1981,3,19,-56.05677,-128.5,8.094109
1981,4,0,-55.494347,-147.5,8.079881
1981,4,1,-55.494347,-146.5,8.080309
1981,4,2,-55.494347,-145.5,8.081447
1981,4,3,-55.494347,-144.5,8.082375
1981,4,4,-55.494347,-143.5,8.083976
1981,4,5,-55.494347,-142.5,8.08553
1981,4,6,-55.494347,-141.5,8.086925
1981,4,7,-55.494347,-140.5,8.087525
1981,4,8,-55.494347,-139.5,8.087855
1981,4,9,-55.494347,-138.5,8.087881
1981,4,10,-55.494347,-137.5,8.087878
1981,4,11,-55.494347,-136.5,8.088449
1981,4,12,-55.494347,-135.5,8.0892725
1981,4,13,-55.494347,-134.5,8.090039
1981,4,14,-55.494347,-133.5,8.09123
1981,4,15,-55.494347,-132.5,8.092413
1981,4,16,-55.494347,-131.5,8.093407
1981,4,17,-55.494347,-130.5,8.094398
1981,4,18,-55.494347,-129.5,8.095047
1981,4,19,-55.494347,-128.5,8.095344
1981,5,0,-54.923775,-147.5,8.08359
1981,5,1,-54.923775,-146.5,8.084117
1981,5,2,-54.923775,-145.5,8.08517
1981,5,3,-54.923775,-144.5,8.086062
1981,5,4,-54.923775,-143.5,8.087613
1981,5,5,-54.923775,-142.5,8.088939
1981,5,6,-54.923775,-141.5,8.090106
1981,5,7,-54.923775,-140.5,8.090348
1981,5,8,-54.923775,-139.5,8.09061
1981,5,9,-54.923775,-138.5,8.090331
1981,5,10,-54.923775,-137.5,8.0900345
1981,5,11,-54.923775,-136.5,8.09041
1981,5,12,-54.923775,-135.5,8.09102
1981,5,13,-54.923775,-134.5,8.0916395
1981,5,14,-54.923775,-133.5,8.092748
1981,5,15,-54.923775,-132.5,8.093922
1981,5,16,-54.923775,-131.5,8.094846
