lat,lon,anomaly
-88.0,2.0,
-88.0,6.0,
-88.0,10.0,
-88.0,14.0,
-88.0,18.0,
-88.0,22.0,
-88.0,26.0,
-88.0,30.0,
-88.0,34.0,
-88.0,38.0,
-88.0,42.0,
-88.0,46.0,
-88.0,50.0,
-88.0,54.0,
-88.0,58.0,
-88.0,62.0,
-88.0,66.0,
-88.0,70.0,
-88.0,74.0,
-88.0,78.0,
-88.0,82.0,
-88.0,86.0,
-88.0,90.0,
-88.0,94.0,
-88.0,98.0,
-88.0,102.0,
-88.0,106.0,
-88.0,110.0,
-88.0,114.0,
-88.0,118.0,
-88.0,122.0,
-88.0,126.0,
-88.0,130.0,
-88.0,134.0,
-88.0,138.0,
-88.0,142.0,
-88.0,146.0,
-88.0,150.0,
-88.0,154.0,
-88.0,158.0,
-88.0,162.0,
-88.0,166.0,
-88.0,170.0,
-88.0,174.0,
-88.0,178.0,
-88.0,182.0,
-88.0,186.0,
-88.0,190.0,
-88.0,194.0,
-88.0,198.0,
-88.0,202.0,
-88.0,206.0,
-88.0,210.0,
-88.0,214.0,
-88.0,218.0,
-88.0,222.0,
-88.0,226.0,
-88.0,230.0,
-88.0,234.0,
-88.0,238.0,
-88.0,242.0,
-88.0,246.0,
-88.0,250.0,
-88.0,254.0,
-88.0,258.0,
-88.0,262.0,
-88.0,266.0,
-88.0,270.0,
-88.0,274.0,
-88.0,278.0,
-88.0,282.0,
-88.0,286.0,
-88.0,290.0,
-88.0,294.0,
-88.0,298.0,
-88.0,302.0,
-88.0,306.0,
-88.0,310.0,
-88.0,314.0,
-88.0,318.0,
-88.0,322.0,
-88.0,326.0,
-88.0,330.0,
-88.0,334.0,
-88.0,338.0,
-88.0,342.0,
-88.0,346.0,
-88.0,350.0,
-88.0,354.0,
-88.0,358.0,
-84.0,2.0,
-84.0,6.0,
-84.0,10.0,
-84.0,14.0,
-84.0,18.0,
-84.0,22.0,
-84.0,26.0,
-84.0,30.0,
-84.0,34.0,
-84.0,38.0,
-84.0,42.0,
-84.0,46.0,
-84.0,50.0,
-84.0,54.0,
-84.0,58.0,
-84.0,62.0,
-84.0,66.0,
-84.0,70.0,
-84.0,74.0,
-84.0,78.0,
-84.0,82.0,
-84.0,86.0,
-84.0,90.0,
-84.0,94.0,
-84.0,98.0,
-84.0,102.0,
-84.0,106.0,
-84.0,110.0,
-84.0,114.0,
-84.0,118.0,
-84.0,122.0,
-84.0,126.0,
-84.0,130.0,
-84.0,134.0,
-84.0,138.0,
-84.0,142.0,
-84.0,146.0,
-84.0,150.0,
-84.0,154.0,
-84.0,158.0,
-84.0,162.0,
-84.0,166.0,
-84.0,170.0,
-84.0,174.0,
-84.0,178.0,
-84.0,182.0,
-84.0,186.0,
-84.0,190.0,
-84.0,194.0,
-84.0,198.0,
-84.0,202.0,
-84.0,206.0,
-84.0,210.0,
-84.0,214.0,
-84.0,218.0,
-84.0,222.0,
-84.0,226.0,
-84.0,230.0,
-84.0,234.0,
-84.0,238.0,
-84.0,242.0,
-84.0,246.0,
-84.0,250.0,
-84.0,254.0,
-84.0,258.0,
-84.0,262.0,
-84.0,266.0,
-84.0,270.0,
-84.0,274.0,
-84.0,278.0,
-84.0,282.0,
-84.0,286.0,
-84.0,290.0,
-84.0,294.0,
-84.0,298.0,
-84.0,302.0,
-84.0,306.0,
-84.0,310.0,
-84.0,314.0,
-84.0,318.0,
-84.0,322.0,
-84.0,326.0,
-84.0,330.0,
-84.0,334.0,
-84.0,338.0,
-84.0,342.0,
-84.0,346.0,
-84.0,350.0,
-84.0,354.0,
-84.0,358.0,
-80.0,2.0,
-80.0,6.0,
-80.0,10.0,
-80.0,14.0,
-80.0,18.0,
-80.0,22.0,
-80.0,26.0,
-80.0,30.0,
-80.0,34.0,
-80.0,38.0,
-80.0,42.0,
-80.0,46.0,
-80.0,50.0,
-80.0,54.0,
-80.0,58.0,
-80.0,62.0,
-80.0,66.0,
-80.0,70.0,
-80.0,74.0,
-80.0,78.0,
-80.0,82.0,
-80.0,86.0,
-80.0,90.0,
-80.0,94.0,
-80.0,98.0,
-80.0,102.0,
-80.0,106.0,
-80.0,110.0,
-80.0,114.0,
-80.0,118.0,
-80.0,122.0,
-80.0,126.0,
-80.0,130.0,
-80.0,134.0,
-80.0,138.0,
-80.0,142.0,
-80.0,146.0,
-80.0,150.0,
-80.0,154.0,
-80.0,158.0,
-80.0,162.0,
-80.0,166.0,
-80.0,170.0,
-80.0,174.0,
-80.0,178.0,
-80.0,182.0,
-80.0,186.0,
-80.0,190.0,
-80.0,194.0,
-80.0,198.0,
-80.0,202.0,
-80.0,206.0,
-80.0,210.0,
-80.0,214.0,
-80.0,218.0,
-80.0,222.0,
-80.0,226.0,
-80.0,230.0,
-80.0,234.0,
-80.0,238.0,
-80.0,242.0,
-80.0,246.0,
-80.0,250.0,
-80.0,254.0,
-80.0,258.0,
-80.0,262.0,
-80.0,266.0,
-80.0,270.0,
-80.0,274.0,
-80.0,278.0,
-80.0,282.0,
-80.0,286.0,
-80.0,290.0,
-80.0,294.0,
-80.0,298.0,
-80.0,302.0,
-80.0,306.0,
-80.0,310.0,
-80.0,314.0,
-80.0,318.0,
-80.0,322.0,
-80.0,326.0,
-80.0,330.0,
-80.0,334.0,
-80.0,338.0,
-80.0,342.0,
-80.0,346.0,
-80.0,350.0,
-80.0,354.0,
-80.0,358.0,
-76.0,2.0,
-76.0,6.0,
-76.0,10.0,
-76.0,14.0,
-76.0,18.0,
-76.0,22.0,
-76.0,26.0,
-76.0,30.0,
-76.0,34.0,
-76.0,38.0,
-76.0,42.0,
-76.0,46.0,
-76.0,50.0,
-76.0,54.0,
-76.0,58.0,
-76.0,62.0,
-76.0,66.0,
-76.0,70.0,
-76.0,74.0,
-76.0,78.0,
-76.0,82.0,
-76.0,86.0,
-76.0,90.0,
-76.0,94.0,
-76.0,98.0,
-76.0,102.0,
-76.0,106.0,
-76.0,110.0,
